datetime,P
25/4/2018 17:00,-0.75677073
25/4/2018 17:03,-0.7645016
25/4/2018 17:06,-0.80169123
25/4/2018 17:09,-0.8084639
25/4/2018 17:12,-0.8308563
25/4/2018 17:15,-0.85407287
25/4/2018 17:18,-0.878856
25/4/2018 17:21,-0.9117667
25/4/2018 17:24,-0.9262201
25/4/2018 17:27,-0.93524164
25/4/2018 17:30,-0.9587477
25/4/2018 17:33,-0.9789054
25/4/2018 17:36,-1.0016888
25/4/2018 17:39,-0.99926674
25/4/2018 17:42,-1.0274037
25/4/2018 17:45,-1.0466669
25/4/2018 17:48,-1.0734951
25/4/2018 17:51,-1.0974215
25/4/2018 17:54,-1.1103046
25/4/2018 17:57,-1.123059
25/4/2018 18:00,-1.1333433
26/4/2018 6:00,-1.1887342
26/4/2018 6:03,-1.2035517
26/4/2018 6:06,-1.1883589
26/4/2018 6:09,-1.1950405
26/4/2018 6:12,-1.1730049
26/4/2018 6:15,-1.1708924
26/4/2018 6:18,-1.1690401
26/4/2018 6:21,-1.1221805
26/4/2018 6:24,-1.1552825
26/4/2018 6:27,-1.1461108
26/4/2018 6:30,-1.1348776
26/4/2018 6:33,-1.1181123
26/4/2018 6:36,-1.1323662
26/4/2018 6:39,-1.1019912
26/4/2018 6:42,-1.0894955
26/4/2018 6:45,-1.0608516
26/4/2018 6:48,-1.0764412
26/4/2018 6:51,-1.0089042
26/4/2018 6:54,-1.0181347
26/4/2018 6:57,-1.0170765
26/4/2018 7:00,-0.98970056
26/4/2018 7:03,-0.9739368
26/4/2018 7:06,-0.9063848
26/4/2018 7:09,-0.87776405
26/4/2018 7:12,-0.88850296
26/4/2018 7:15,-0.8018486
26/4/2018 7:18,-0.755589
26/4/2018 7:21,-0.6276875
26/4/2018 7:24,-0.76484245
26/4/2018 7:27,-0.7105195
26/4/2018 7:30,-0.66462904
26/4/2018 7:33,-0.6529451
26/4/2018 7:36,-0.7750601
26/4/2018 7:39,-0.70310557
26/4/2018 7:42,-0.20127262
26/4/2018 7:45,-0.52261466
26/4/2018 7:48,-0.5685922
26/4/2018 7:51,-0.5828565
26/4/2018 7:54,0.07204638
26/4/2018 7:57,-0.10456052
26/4/2018 8:00,-0.4659721
26/4/2018 8:03,-0.5210717
26/4/2018 8:06,-0.4931704
26/4/2018 8:09,-0.37477154
26/4/2018 8:12,-0.28290325
26/4/2018 8:15,0.35718337
26/4/2018 8:18,0.1625732
26/4/2018 8:21,0.40614104
26/4/2018 8:24,0.006666044
26/4/2018 8:27,-0.36129162
26/4/2018 8:30,-0.45886058
26/4/2018 8:33,0.24512406
26/4/2018 8:36,-0.63707393
26/4/2018 8:39,-0.4323676
26/4/2018 8:42,-0.6991748
26/4/2018 8:45,-0.6822564
26/4/2018 8:48,-0.662239
26/4/2018 8:51,-0.7044694
26/4/2018 8:54,-0.8617793
26/4/2018 8:57,-0.8752753
26/4/2018 9:00,-0.79178345
26/4/2018 9:03,-0.7751663
26/4/2018 9:06,-0.92744917
26/4/2018 9:09,-0.96694934
26/4/2018 9:12,-0.9653152
26/4/2018 9:15,-0.83505493
26/4/2018 9:18,-0.8800765
26/4/2018 9:21,-0.8925946
26/4/2018 9:24,-0.7269156
26/4/2018 9:27,-0.55789495
26/4/2018 9:30,-0.48013517
26/4/2018 9:33,-0.42060438
26/4/2018 9:36,-0.3770165
26/4/2018 9:39,-0.3687038
26/4/2018 9:42,-0.5650483
26/4/2018 9:45,-0.77203465
26/4/2018 9:48,-0.90582263
26/4/2018 9:51,-0.9647859
26/4/2018 9:54,-0.91159344
26/4/2018 9:57,-0.9106036
26/4/2018 10:00,-0.9631461
26/4/2018 10:03,-0.9112027
26/4/2018 10:06,-0.97663593
26/4/2018 10:09,-0.98034966
26/4/2018 10:12,-0.7871936
26/4/2018 10:15,-0.67330927
26/4/2018 10:18,-0.568159
26/4/2018 10:21,-0.5411194
